Team,Sport
30. Februar,Sailing
A North American Team,Polo
AIN,Canoe Sprint
AIN,Cycling Road
AIN,Rowing
AIN,Shooting
AIN,Swimming
AIN,Taekwondo
AIN,Tennis
AIN,Trampoline Gymnastics
AIN,Weightlifting
AIN,Wrestling
Acipactli,Sailing
Acturus,Sailing
Afghanistan,Athletics
Afghanistan,Hockey
Afghanistan,Football
Afghanistan,Wrestling
Afghanistan,Boxing
Afghanistan,Judo
Afghanistan,Taekwondo
Afghanistan,Shooting
Afghanistan,Swimming
Afghanistan,Cycling Road
Akatonbo,Sailing
Alain IV,Sailing
Albania,Shooting
Albania,Weightlifting
Albania,Athletics
Albania,Swimming
Albania,Cycling
Albania,Wrestling
Albania,Judo
Albania,Artistic Gymnastics
Alcaid,Sailing
Alcyon-6,Sailing
Alcyon-7,Sailing
Aldebaran,Sailing
Aldebaran II,Sailing
Aletta,Sailing
Algeria,Gymnastics
Algeria,Boxing
Algeria,Athletics
Algeria,Fencing
Algeria,Football
Algeria,Handball
Algeria,Judo
Algeria,Swimming
Algeria,Weightlifting
Algeria,Wrestling
Algeria,Cycling
Algeria,Tennis
Algeria,Volleyball
Algeria,Rowing
Algeria,Table Tennis
Algeria,Trampolining
Algeria,Badminton
Algeria,Shooting
Algeria,Taekwondo
Algeria,Sailing
Algeria,Canoe Sprint
Algeria,Cycling Road
Algeria,Karate
Algeria,Marathon Swimming
Algeria,Artistic Gymnastics
Algeria,Canoe Slalom
Ali-Baba II,Sailing
Ali-Baba IV,Sailing
Ali-Baba IX,Sailing
Ali-Baba VI,Sailing
Allegro,Sailing
Almaz,Sailing
Aloha II,Sailing
Amateur Athletic Association,Athletics
American Samoa,Athletics
American Samoa,Boxing
American Samoa,Weightlifting
American Samoa,Wrestling
American Samoa,Sailing
American Samoa,Archery
American Samoa,Judo
American Samoa,Swimming
Amolgavar,Sailing
Amstel Amsterdam,Rowing
Amulet-3,Sailing
Amulet-7,Sailing
Ancora,Sailing
Andorinha,Sailing
Andorra,Boxing
Andorra,Shooting
Andorra,Athletics
Andorra,Cycling
Andorra,Judo
Andorra,Sailing
Andorra,Swimming
Andorra,Canoeing
Andorra,Canoe Slalom
Andromeda,Sailing
Angelita,Sailing
Angerburg,Sailing
Angola,Athletics
Angola,Boxing
Angola,Swimming
Angola,Judo
Angola,Basketball
Angola,Sailing
Angola,Handball
Angola,Shooting
Angola,Beach Volleyball
Angola,Canoeing
Angola,Rowing
Angola,Canoe Sprint
Anitra,Sailing
Antares,Sailing
Antigua and Barbuda,Athletics
Antigua and Barbuda,Cycling
Antigua and Barbuda,Sailing
Antigua and Barbuda,Boxing
Antigua and Barbuda,Canoeing
Antigua and Barbuda,Swimming
Antwerpia V,Sailing
Apache,Sailing
Aphrodite,Sailing
Arcturus,Sailing
Ardilla,Sailing
Aretusa,Sailing
Argentina,Fencing
Argentina,Figure Skating
Argentina,Boxing
Argentina,Athletics
Argentina,Cycling
Argentina,Polo
Argentina,Rowing
Argentina,Sailing
Argentina,Shooting
Argentina,Swimming
Argentina,Tennis
Argentina,Weightlifting
Argentina,Equestrianism
Argentina,Football
Argentina,Water Polo
Argentina,Wrestling
Argentina,Art Competitions
Argentina,Basketball
Argentina,Gymnastics
Argentina,Hockey
Argentina,Modern Pentathlon
Argentina,Diving
Argentina,Judo
Argentina,Canoeing
Argentina,Volleyball
Argentina,Archery
Argentina,Table Tennis
Argentina,Beach Volleyball
Argentina,Taekwondo
Argentina,Triathlon
Argentina,Handball
Argentina,Synchronized Swimming
Argentina,Golf
Argentina,Rugby Sevens
Argentina,Artistic Gymnastics
Argentina,Canoe Slalom
Argentina,Canoe Sprint
Argentina,Cycling BMX Racing
Argentina,Cycling Mountain Bike
Argentina,Cycling Road
Argentina,Equestrian
Argentina,Marathon Swimming
Argentina,Surfing
Argentina,Cycling BMX Freestyle
Argentina,Skateboarding
Argentina-1,Tennis
Argentina-1,Beach Volleyball
Argentina-2,Tennis
Argentina-2,Beach Volleyball
Argeste,Sailing
Argo II,Sailing
Argonaut Rowing Club,Rowing
Argus,Sailing
Ariel,Sailing
Ariette-10,Sailing
Ariette-8,Sailing
Armenia,Athletics
Armenia,Boxing
Armenia,Cycling
Armenia,Diving
Armenia,Gymnastics
Armenia,Judo
Armenia,Shooting
Armenia,Swimming
Armenia,Tennis
Armenia,Weightlifting
Armenia,Wrestling
Armenia,Canoeing
Armenia,Taekwondo
Armenia,Artistic Gymnastics
Aruba,Athletics
Aruba,Boxing
Aruba,Fencing
Aruba,Judo
Aruba,Synchronized Swimming
Aruba,Cycling
Aruba,Sailing
Aruba,Weightlifting
Aruba,Swimming
Aruba,Taekwondo
Aruba,Shooting
Aruba,Cycling BMX Racing
Aschenbrodel,Sailing
Astrid III,Sailing
Atalanta Boat Club-1,Rowing
Atalanta Boat Club-2,Rowing
Athens-2,Football
Atlanta,Sailing
Augsburg,Sailing
Ausonia,Sailing
Australasia,Athletics
Australasia,Boxing
Australasia,Diving
Australasia,Rugby
Australasia,Shooting
Australasia,Swimming
Australasia,Rowing
