Sport,Discipline,2024
Aquatics,Artistic Swimming,2.0
Aquatics,Diving,8.0
Aquatics,Marathon Swimming,2.0
Aquatics,Swimming,35.0
Aquatics,Water Polo,2.0
Archery,Archery,5.0
Athletics,Athletics,48.0
Badminton,Badminton,5.0
Baseball�and Softball,Baseball,0.0
Baseball�and Softball,Softball,0.0
Basketball,3x3,2.0
Basketball,Basketball,2.0
Basque Pelota,Basque Pelota,0.0
Boxing,Boxing,13.0
Breaking,Breaking,2.0
Canoeing,Slalom,6.0
Canoeing,Sprint,10.0
Cricket,Cricket,0.0
Croquet,Croquet,0.0
Cycling,BMX Freestyle,2.0
Cycling,BMX Racing,2.0
Cycling,Mountain Bike,2.0
Cycling,Road,4.0
Cycling,Track,12.0
Equestrian,Dressage,2.0
Equestrian,Driving,0.0
Equestrian,Eventing,2.0
Equestrian,Jumping,2.0
Equestrian,Vaulting,0.0
Fencing,Fencing,12.0
Field hockey,Field hockey,2.0
Flag football,Flag football,0.0
Football,Football,2.0
Golf,Golf,2.0
Gymnastics,Artistic,14.0
Gymnastics,Rhythmic,2.0
Gymnastics,Trampoline,2.0
Handball,Field,0.0
Handball,Indoor,2.0
Ice Hockey,Ice Hockey,0.0
Jeu de Paume,Jeu de Paume,0.0
Judo,Judo,15.0
Karate,Karate,0.0
Lacrosse,Field,0.0
Lacrosse,Sixes,0.0
Polo,Polo,0.0
Rackets,Rackets,0.0
Roque,Roque,0.0
Rowing,Coastal,0.0
Rowing,Rowing,14.0
Rugby,Sevens,2.0
Rugby,Union,0.0
Sailing,Sailing,10.0
Shooting,Shooting,15.0
Skateboarding,Skateboarding,4.0
Skating,Figure,0.0
Sport Climbing,Sport Climbing,4.0
Squash,Squash,0.0
Surfing,Surfing,2.0
Table Tennis,Table Tennis,5.0
Taekwondo,Taekwondo,8.0
Tennis,Tennis,5.0
Total disciplines,Total disciplines,48.0
Total events,Total events,329.0
Total sports,Total sports,32.0
Triathlon,Triathlon,3.0
Tug of War,Tug of War,0.0
Volleyball,Beach,2.0
Volleyball,Indoor,2.0
Weightlifting,Weightlifting,10.0
Wrestling,Freestyle,12.0
Wrestling,Greco-Roman,6.0
