Sport,count
3x3 Basketball,2
"3x3 Basketball, Basketball",4
Aeronautics,-1
Alpinism,-1
Archery,5
Art Competitions,-1
Artistic Gymnastics,14
Artistic Swimming,2
Athletics,48
Badminton,5
Baseball,0
Baseball/Softball,0
Basketball,2
Basque Pelota,0
Beach Volleyball,2
Boxing,13
Breaking,2
Canoe Slalom,6
Canoe Sprint,10
Canoeing,16
Cricket,0
Croquet,0
Cycling,22
Cycling BMX Freestyle,2
Cycling BMX Racing,2
Cycling Mountain Bike,2
Cycling Road,4
"Cycling Road, Cycling Mountain Bike",6
"Cycling Road, Cycling Track",16
"Cycling Road, Triathlon",7
Cycling Track,12
Diving,8
Equestrian,6
Equestrianism,-1
Fencing,12
Figure Skating,-1
Football,2
Golf,2
Gymnastics,18
Handball,2
Hockey,0
Ice Hockey,0
Jeu De Paume,0
Judo,15
Karate,0
Lacrosse,0
Marathon Swimming,2
"Marathon Swimming, Swimming",37
Modern Pentathlon,2
Motorboating,-1
Polo,0
Racquets,0
Rhythmic Gymnastics,2
Roque,0
Rowing,14
Rugby,2
Rugby Sevens,2
Sailing,10
Shooting,15
Skateboarding,4
Softball,-1
Sport Climbing,4
Surfing,2
Swimming,35
Synchronized Swimming,2
Table Tennis,5
Taekwondo,8
Tennis,5
Trampoline Gymnastics,2
Trampolining,2
Triathlon,3
Tug-Of-War,0
Volleyball,4
Water Polo,2
Weightlifting,10
Wrestling,18
