编号,作物编号,作物名称,作物类型
0,1,黄豆,粮食（豆类）
1,2,黑豆,粮食（豆类）
2,3,红豆,粮食（豆类）
3,4,绿豆,粮食（豆类）
4,5,爬豆,粮食（豆类）
5,6,小麦,粮食
6,7,玉米,粮食
7,8,谷子,粮食
8,9,高粱,粮食
9,10,黍子,粮食
10,11,荞麦,粮食
11,12,南瓜,粮食
12,13,红薯,粮食
13,14,莜麦,粮食
14,15,大麦,粮食
15,16,水稻,粮食
16,17,豇豆,蔬菜（豆类）
17,18,刀豆,蔬菜（豆类）
18,19,芸豆,蔬菜（豆类）
19,20,土豆,蔬菜
20,21,西红柿,蔬菜
21,22,茄子,蔬菜
22,23,菠菜 ,蔬菜
23,24,青椒,蔬菜
24,25,菜花,蔬菜
25,26,包菜,蔬菜
26,27,油麦菜,蔬菜
27,28,小青菜,蔬菜
28,29,黄瓜,蔬菜
29,30,生菜 ,蔬菜
30,31,辣椒,蔬菜
31,32,空心菜,蔬菜
32,33,黄心菜,蔬菜
33,34,芹菜,蔬菜
34,35,大白菜,蔬菜
35,36,白萝卜,蔬菜
36,37,红萝卜,蔬菜
37,38,榆黄菇,食用菌
38,39,香菇,食用菌
39,40,白灵菇,食用菌
40,41,羊肚菌,食用菌
