,序号,作物编号,作物名称,地块类型,种植季次,亩产量/斤,种植成本/(元/亩),销售单价/(元/斤)
0,1,1,黄豆,平旱地,单季,400,400,2.50-4.00
1,2,2,黑豆,平旱地,单季,500,400,6.50-8.50
2,3,3,红豆,平旱地,单季,400,350,7.50-9.00
3,4,4,绿豆,平旱地,单季,350,350,6.00-8.00
4,5,5,爬豆,平旱地,单季,415,350,6.00-7.50
5,6,6,小麦,平旱地,单季,800,450,3.00-4.00
6,7,7,玉米,平旱地,单季,1000,500,2.50-3.50
7,8,8,谷子,平旱地,单季,400,360,6.00-7.50
8,9,9,高粱,平旱地,单季,630,400,5.50-6.50
9,10,10,黍子,平旱地,单季,525,360,6.50-8.50
10,11,11,荞麦,平旱地,单季,110,350,30.00-50.00
11,12,12,南瓜,平旱地,单季,3000,1000,1.00-2.00
12,13,13,红薯,平旱地,单季,2200,2000,2.50-4.00
13,14,14,莜麦,平旱地,单季,420,400,5.00-6.00
14,15,15,大麦,平旱地,单季,525,350,3.00-4.00
15,16,1,黄豆,梯田,单季,380,400,2.50-4.00
16,17,2,黑豆,梯田,单季,475,400,6.50-8.50
17,18,3,红豆,梯田,单季,380,350,7.50-9.00
18,19,4,绿豆,梯田,单季,330,350,6.00-8.00
19,20,5,爬豆,梯田,单季,395,350,6.00-7.50
20,21,6,小麦,梯田,单季,760,450,3.00-4.00
21,22,7,玉米,梯田,单季,950,500,2.50-3.50
22,23,8,谷子,梯田,单季,380,360,6.00-7.50
23,24,9,高粱,梯田,单季,600,400,5.50-6.50
24,25,10,黍子,梯田,单季,500,360,6.50-8.50
25,26,11,荞麦,梯田,单季,105,350,30.00-50.00
26,27,12,南瓜,梯田,单季,2850,1000,1.00-2.00
27,28,13,红薯,梯田,单季,2100,2000,2.50-4.00
28,29,14,莜麦,梯田,单季,400,400,5.00-6.00
29,30,15,大麦,梯田,单季,500,350,3.00-4.00
30,31,1,黄豆,山坡地,单季,360,400,2.50-4.00
31,32,2,黑豆,山坡地,单季,450,400,6.50-8.50
32,33,3,红豆,山坡地,单季,360,350,7.50-9.00
33,34,4,绿豆,山坡地,单季,315,350,6.00-8.00
34,35,5,爬豆,山坡地,单季,375,350,6.00-7.50
35,36,6,小麦,山坡地,单季,720,450,3.00-4.00
36,37,7,玉米,山坡地,单季,900,500,2.50-3.50
37,38,8,谷子,山坡地,单季,360,360,6.00-7.50
38,39,9,高粱,山坡地,单季,570,400,5.50-6.50
39,40,10,黍子,山坡地,单季,475,360,6.50-8.50
40,41,11,荞麦,山坡地,单季,100,350,30.00-50.00
41,42,12,南瓜,山坡地,单季,2700,1000,1.00-2.00
42,43,13,红薯,山坡地,单季,2000,2000,2.50-4.00
43,44,14,莜麦,山坡地,单季,380,400,5.00-6.00
44,45,15,大麦,山坡地,单季,475,350,3.00-4.00
45,46,16,水稻,水浇地,单季,500,680,6.00-8.00
46,47,17,豇豆,水浇地,第一季,3000,2000,7.00-9.00
47,48,18,刀豆,水浇地,第一季,2000,1000,5.50-8.00
48,49,19,芸豆,水浇地,第一季,3000,2000,5.00-8.00
49,50,20,土豆,水浇地,第一季,2000,2000,3.00-4.50
50,51,21,西红柿,水浇地,第一季,2400,2000,5.00-7.50
51,52,22,茄子,水浇地,第一季,6400,2000,5.00-6.00
52,53,23,菠菜 ,水浇地,第一季,2700,2300,4.80-6.70
53,54,24,青椒,水浇地,第一季,2400,1600,4.00-6.50
54,55,25,菜花,水浇地,第一季,3300,2400,5.00-6.00
55,56,26,包菜,水浇地,第一季,3700,2900,5.50-7.50
56,57,27,油麦菜,水浇地,第一季,4100,1600,4.00-6.00
57,58,28,小青菜,水浇地,第一季,3200,1600,5.00-6.50
58,59,29,黄瓜,水浇地,第一季,12000,2900,6.00-8.00
59,60,30,生菜 ,水浇地,第一季,4100,1600,4.50-6.00
60,61,31,辣椒,水浇地,第一季,1600,1000,6.00-8.50
61,62,32,空心菜,水浇地,第一季,10000,4100,3.00-6.00
62,63,33,黄心菜,水浇地,第一季,5000,2000,4.00-5.00
63,64,34,芹菜,水浇地,第一季,5500,900,3.20-4.80
64,65,17,豇豆,普通大棚 ,第一季,3600,2400,7.00-9.00
65,66,18,刀豆,普通大棚 ,第一季,2400,1200,5.50-8.00
66,67,19,芸豆,普通大棚 ,第一季,3600,2400,5.00-8.00
67,68,20,土豆,普通大棚 ,第一季,2400,2400,3.00-4.50
68,69,21,西红柿,普通大棚 ,第一季,3000,2400,5.00-7.50
69,70,22,茄子,普通大棚 ,第一季,8000,2400,5.00-6.00
70,71,23,菠菜 ,普通大棚 ,第一季,3300,2700,4.80-6.70
71,72,24,青椒,普通大棚 ,第一季,3000,2000,4.00-6.50
72,73,25,菜花,普通大棚 ,第一季,4000,3000,5.00-6.00
73,74,26,包菜,普通大棚 ,第一季,4500,3500,5.50-7.50
74,75,27,油麦菜,普通大棚 ,第一季,5000,2000,4.00-6.00
75,76,28,小青菜,普通大棚 ,第一季,4000,2000,5.00-6.50
76,77,29,黄瓜,普通大棚 ,第一季,15000,3500,6.00-8.00
77,78,30,生菜 ,普通大棚 ,第一季,5000,2000,4.50-6.00
78,79,31,辣椒,普通大棚 ,第一季,2000,1200,6.00-8.50
79,80,32,空心菜,普通大棚 ,第一季,12000,5000,3.00-6.00
80,81,33,黄心菜,普通大棚 ,第一季,6000,2500,4.00-5.00
81,82,34,芹菜,普通大棚 ,第一季,6600,1100,3.20-4.80
82,83,35,大白菜,水浇地,第二季,5000,2000,2.00-3.00
83,84,36,白萝卜,水浇地,第二季,4000,500,2.00-3.00
84,85,37,红萝卜,水浇地,第二季,3000,500,2.50-4.00
85,86,38,榆黄菇,普通大棚 ,第二季,5000,3000,50.00-65.00
86,87,39,香菇,普通大棚 ,第二季,4000,2000,18.00-20.00
87,88,40,白灵菇,普通大棚 ,第二季,10000,10000,14.00-18.00
88,89,41,羊肚菌,普通大棚 ,第二季,1000,10000,80.00-120.00
89,90,17,豇豆,智慧大棚,第二季,3200,2640,8.40-10.80
90,91,18,刀豆,智慧大棚,第二季,2200,1320,6.60-9.60
91,92,19,芸豆,智慧大棚,第二季,3200,2640,6.00-9.60
92,93,20,土豆,智慧大棚,第二季,2200,2640,3.60-5.40
