,地块名称,作物编号
0,A1,1
1,A1,7
2,A1,8
3,A2,3
4,A2,4
5,A2,7
6,A3,1
7,A3,10
8,A3,14
9,A3,15
10,A3,15
11,A3,15
12,A3,5
13,A3,6
14,A3,8
15,A4,11
16,A4,11
17,A4,13
18,A4,2
19,A4,4
20,A4,6
21,A4,6
22,A4,7
23,A5,1
24,A5,6
25,A5,6
26,A5,8
27,A6,12
28,A6,3
29,A6,6
30,A6,8
31,A6,9
32,D1,16
33,D1,24
34,D1,37
35,D2,20
36,D2,28
37,D2,35
38,D3,16
39,D3,35
40,D4,16
41,D4,16
42,D4,28
43,D4,35
44,D5,17
45,D5,25
46,D5,33
47,D6,16
48,D6,17
49,D6,18
50,D6,30
51,D7,27
52,D8,19
53,E1,21
54,E10,20
55,E11,21
56,E12,21
57,E13,20
58,E13,21
59,E14,20
60,E14,21
61,E15,20
62,E15,38
63,E15,38
64,E15,40
65,E15,40
66,E16,21
67,E2,20
68,E2,21
69,E2,21
70,E3,18
71,E3,21
72,E4,21
73,E4,31
74,E5,21
75,E6,20
76,E8,20
77,E8,20
78,E8,20
79,E8,21
80,E8,21
81,E8,21
82,E9,18
83,E9,21
84,F1,21
85,F1,21
86,F1,22
87,F1,22
88,F1,23
89,F1,26
90,F1,32
91,F2,21
92,F2,21
93,F2,21
94,F2,22
95,F2,22
96,F2,22
97,F3,21
98,F3,21
99,F3,21
100,F3,22
101,F3,22
102,F3,22
103,F3,22
104,F3,22
105,F3,26
106,F3,26
107,F3,29
108,F3,29
109,F3,34
110,F4,21
111,F4,21
112,F4,22
113,F4,22
114,F4,22
115,F4,29
