,地块名称,作物编号,面积,季次
0,A1,11,80.0,g0
1,A1,13,80.0,f0
2,A1,2,80.0,a0
3,A1,2,80.0,c0
4,A1,2,80.0,e0
5,A1,3,80.0,b0
6,A1,3,80.0,d0
7,A2,11,55.0,g0
8,A2,13,55.0,f0
9,A2,2,55.0,a0
10,A2,2,55.0,c0
11,A2,2,55.0,e0
12,A2,3,55.0,b0
13,A2,3,55.0,d0
14,A3,11,35.0,g0
15,A3,13,35.0,f0
16,A3,2,35.0,a0
17,A3,2,35.0,c0
18,A3,2,35.0,e0
19,A3,3,35.0,b0
20,A3,3,35.0,d0
21,A4,11,72.0,f0
22,A4,13,72.0,g0
23,A4,2,72.0,a0
24,A4,2,72.0,c0
25,A4,2,72.0,e0
26,A4,3,72.0,b0
27,A4,3,72.0,d0
28,A5,11,68.0,g0
29,A5,13,68.0,f0
30,A5,2,68.0,a0
31,A5,2,68.0,c0
32,A5,2,68.0,e0
33,A5,3,68.0,b0
34,A5,3,68.0,d0
35,A6,11,55.0,f0
36,A6,13,55.0,g0
37,A6,2,55.0,a0
38,A6,2,55.0,c0
39,A6,2,55.0,e0
40,A6,3,55.0,b0
41,A6,3,55.0,d0
42,B1,11,60.0,g0
43,B1,13,60.0,f0
44,B1,2,60.0,a0
45,B1,2,60.0,c0
46,B1,2,60.0,e0
47,B1,3,60.0,b0
48,B1,3,60.0,d0
49,B10,11,25.0,g0
50,B10,13,25.0,f0
51,B10,2,25.0,a0
52,B10,2,25.0,c0
53,B10,2,25.0,e0
54,B10,3,25.0,b0
55,B10,3,25.0,d0
56,B11,11,60.0,g0
57,B11,13,60.0,f0
58,B11,2,60.0,a0
59,B11,2,60.0,c0
60,B11,2,60.0,e0
61,B11,3,60.0,b0
62,B11,3,60.0,d0
63,B12,11,45.0,g0
64,B12,13,45.0,f0
65,B12,2,45.0,a0
66,B12,2,45.0,c0
67,B12,2,45.0,e0
68,B12,3,45.0,b0
69,B12,3,45.0,d0
70,B13,11,35.0,g0
71,B13,13,35.0,f0
72,B13,2,35.0,a0
73,B13,2,35.0,c0
74,B13,2,35.0,e0
75,B13,3,35.0,b0
76,B13,3,35.0,d0
77,B14,11,20.0,g0
78,B14,13,20.0,f0
79,B14,2,20.0,a0
80,B14,2,20.0,c0
81,B14,2,20.0,e0
82,B14,3,20.0,b0
83,B14,3,20.0,d0
84,B2,11,46.0,g0
85,B2,13,46.0,f0
86,B2,2,46.0,a0
87,B2,2,46.0,c0
88,B2,2,46.0,e0
89,B2,3,46.0,b0
90,B2,3,46.0,d0
91,B3,11,40.0,f0
92,B3,13,40.0,g0
93,B3,2,40.0,a0
94,B3,2,40.0,c0
95,B3,2,40.0,e0
96,B3,3,40.0,b0
97,B3,3,40.0,d0
98,B4,11,28.0,g0
99,B4,13,28.0,f0
100,B4,2,28.0,a0
101,B4,2,28.0,c0
102,B4,2,28.0,e0
103,B4,3,28.0,b0
104,B4,3,28.0,d0
105,B5,11,25.0,g0
106,B5,13,25.0,f0
107,B5,2,25.0,a0
108,B5,2,25.0,c0
109,B5,2,25.0,e0
110,B5,3,25.0,b0
111,B5,3,25.0,d0
112,B6,11,86.0,g0
113,B6,13,86.0,f0
114,B6,2,86.0,a0
115,B6,2,86.0,c0
116,B6,2,86.0,e0
117,B6,3,86.0,b0
118,B6,3,86.0,d0
119,B7,11,55.0,g0
120,B7,13,55.0,f0
121,B7,2,55.0,a0
122,B7,2,55.0,c0
123,B7,2,55.0,e0
124,B7,3,55.0,b0
125,B7,3,55.0,d0
126,B8,11,44.0,f0
127,B8,13,44.0,g0
128,B8,2,44.0,a0
129,B8,2,44.0,c0
130,B8,2,44.0,e0
131,B8,3,44.0,b0
132,B8,3,44.0,d0
133,B9,11,50.0,f0
134,B9,13,50.0,g0
135,B9,2,50.0,a0
136,B9,2,50.0,c0
137,B9,2,50.0,e0
138,B9,3,50.0,b0
139,B9,3,50.0,d0
140,C1,11,15.0,f0
141,C1,13,15.0,g0
142,C1,2,15.0,a0
143,C1,2,15.0,c0
144,C1,2,15.0,e0
145,C1,3,15.0,b0
146,C1,3,15.0,d0
147,C2,11,13.0,g0
148,C2,13,13.0,f0
149,C2,2,13.0,a0
150,C2,2,13.0,c0
151,C2,2,13.0,e0
152,C2,3,13.0,b0
153,C2,3,13.0,d0
154,C3,11,15.0,g0
155,C3,13,15.0,f0
156,C3,2,15.0,a0
157,C3,2,15.0,c0
158,C3,2,15.0,e0
159,C3,3,15.0,b0
160,C3,3,15.0,d0
161,C4,11,18.0,g0
162,C4,13,18.0,f0
163,C4,2,18.0,a0
164,C4,2,18.0,c0
165,C4,2,18.0,e0
166,C4,3,18.0,b0
167,C4,3,18.0,d0
168,C5,11,27.0,f0
169,C5,13,27.0,g0
170,C5,2,27.0,a0
171,C5,2,27.0,c0
172,C5,2,27.0,e0
173,C5,3,27.0,b0
174,C5,3,27.0,d0
175,C6,11,20.0,g0
176,C6,13,20.0,f0
177,C6,2,20.0,a0
178,C6,2,20.0,c0
179,C6,2,20.0,e0
180,C6,3,20.0,b0
181,C6,3,20.0,d0
182,D1,17,7.5,a0
183,D1,17,7.5,a1
184,D1,17,7.5,b0
185,D1,17,7.5,c0
186,D1,17,7.5,c1
187,D1,17,7.5,d0
188,D1,17,7.5,d1
189,D1,17,7.5,e0
190,D1,17,7.5,e1
191,D1,17,4.3578378,f0
192,D1,17,7.5,g0
193,D1,17,1.58,g1
194,D1,18,7.5,b1
195,D1,19,2.08,f0
196,D1,19,0.69056511,g1
197,D1,26,1.0621622,f0
198,D1,29,7.5,a0
199,D1,29,7.5,a1
200,D1,29,7.5,b0
201,D1,29,7.5,b1
202,D1,29,7.5,c0
203,D1,29,7.5,c1
204,D1,29,7.5,d0
205,D1,29,7.5,d1
206,D1,29,7.5,e0
207,D1,29,7.5,e1
208,D1,29,7.5,f0
209,D1,29,7.5,f1
210,D1,29,7.5,g0
211,D1,29,7.5,g1
212,D1,32,7.5,f1
213,D1,32,5.2294349,g1
214,D1,35,15.0,a2
215,D1,35,15.0,c2
216,D1,35,15.0,e2
217,D1,35,15.0,g2
218,D1,37,15.0,b2
219,D1,37,15.0,d2
220,D1,37,15.0,f2
221,D2,17,5.0,a0
222,D2,17,5.0,a1
223,D2,17,5.0,b1
224,D2,17,5.0,c0
225,D2,17,5.0,c1
226,D2,17,2.92,d0
227,D2,17,5.0,d1
228,D2,17,5.0,e1
229,D2,18,2.92,b0
230,D2,18,2.92,e0
231,D2,19,2.08,b0
232,D2,19,2.08,d0
233,D2,19,2.08,e0
234,D2,29,5.0,a0
235,D2,29,5.0,a1
236,D2,29,5.0,b0
237,D2,29,5.0,b1
238,D2,29,5.0,c0
239,D2,29,5.0,c1
240,D2,29,5.0,d0
241,D2,29,5.0,d1
242,D2,29,5.0,e0
243,D2,29,5.0,e1
244,D2,29,10.0,g0
245,D2,29,10.0,g1
246,D2,32,10.0,f0
247,D2,32,10.0,f1
248,D2,35,10.0,a2
249,D2,35,10.0,c2
250,D2,35,10.0,e2
251,D2,35,10.0,g2
252,D2,37,10.0,b2
253,D2,37,10.0,d2
254,D2,37,10.0,f2
255,D3,17,7.0,a0
256,D3,17,7.0,a1
257,D3,17,7.0,b0
258,D3,17,7.0,b1
259,D3,17,7.0,c1
260,D3,17,7.0,d0
261,D3,17,7.0,d1
