编号,地块名称,地块类型,地块面积/亩
0,A1,平旱地,80.0
1,A2,平旱地,55.0
2,A3,平旱地,35.0
3,A4,平旱地,72.0
4,A5,平旱地,68.0
5,A6,平旱地,55.0
6,B1,梯田,60.0
7,B2,梯田,46.0
8,B3,梯田,40.0
9,B4,梯田,28.0
10,B5,梯田,25.0
11,B6,梯田,86.0
12,B7,梯田,55.0
13,B8,梯田,44.0
14,B9,梯田,50.0
15,B10,梯田,25.0
16,B11,梯田,60.0
17,B12,梯田,45.0
18,B13,梯田,35.0
19,B14,梯田,20.0
20,C1,山坡地,15.0
21,C2,山坡地,13.0
22,C3,山坡地,15.0
23,C4,山坡地,18.0
24,C5,山坡地,27.0
25,C6,山坡地,20.0
26,D1,水浇地,15.0
27,D2,水浇地,10.0
28,D3,水浇地,14.0
29,D4,水浇地,6.0
30,D5,水浇地,10.0
31,D6,水浇地,12.0
32,D7,水浇地,22.0
33,D8,水浇地,20.0
34,E1,普通大棚 ,0.6
35,E2,普通大棚 ,0.6
36,E3,普通大棚 ,0.6
37,E4,普通大棚 ,0.6
38,E5,普通大棚 ,0.6
39,E6,普通大棚 ,0.6
40,E7,普通大棚 ,0.6
41,E8,普通大棚 ,0.6
42,E9,普通大棚 ,0.6
43,E10,普通大棚 ,0.6
44,E11,普通大棚 ,0.6
45,E12,普通大棚 ,0.6
46,E13,普通大棚 ,0.6
47,E14,普通大棚 ,0.6
48,E15,普通大棚 ,0.6
49,E16,普通大棚 ,0.6
50,F1,智慧大棚,0.6
51,F2,智慧大棚,0.6
52,F3,智慧大棚,0.6
53,F4,智慧大棚,0.6
