,地块名称,作物编号,面积,季次
0,A1,11,80.0,g0
1,A1,13,80.0,f0
2,A1,2,80.0,a0
3,A1,2,80.0,c0
4,A1,2,80.0,e0
5,A1,3,80.0,b0
6,A1,3,80.0,d0
7,A2,11,55.0,g0
8,A2,13,55.0,f0
9,A2,2,55.0,a0
10,A2,2,55.0,c0
11,A2,2,55.0,e0
12,A2,3,55.0,b0
13,A2,3,55.0,d0
14,A3,11,35.0,g0
15,A3,13,35.0,f0
16,A3,2,35.0,a0
17,A3,2,35.0,c0
18,A3,2,35.0,e0
19,A3,3,35.0,b0
20,A3,3,35.0,d0
21,A4,11,72.0,f0
22,A4,13,72.0,g0
23,A4,2,72.0,a0
24,A4,2,72.0,c0
25,A4,2,72.0,e0
26,A4,3,72.0,b0
27,A4,3,72.0,d0
28,A5,11,68.0,g0
29,A5,13,68.0,f0
30,A5,2,68.0,a0
31,A5,2,68.0,c0
32,A5,2,68.0,e0
33,A5,3,68.0,b0
34,A5,3,68.0,d0
35,A6,11,55.0,f0
36,A6,13,55.0,g0
37,A6,2,55.0,a0
38,A6,2,55.0,c0
39,A6,2,55.0,e0
40,A6,3,55.0,b0
41,A6,3,55.0,d0
42,B1,11,60.0,g0
43,B1,13,60.0,f0
44,B1,2,60.0,a0
45,B1,2,60.0,c0
46,B1,2,60.0,e0
47,B1,3,60.0,b0
48,B1,3,60.0,d0
49,B10,11,25.0,g0
50,B10,13,25.0,f0
51,B10,2,25.0,a0
52,B10,2,25.0,c0
53,B10,2,25.0,e0
54,B10,3,25.0,b0
55,B10,3,25.0,d0
56,B11,11,60.0,g0
57,B11,13,60.0,f0
58,B11,2,60.0,a0
59,B11,2,60.0,c0
60,B11,2,60.0,e0
61,B11,3,60.0,b0
62,B11,3,60.0,d0
63,B12,11,45.0,g0
64,B12,13,45.0,f0
65,B12,2,45.0,a0
66,B12,2,45.0,c0
67,B12,2,45.0,e0
68,B12,3,45.0,b0
69,B12,3,45.0,d0
70,B13,11,35.0,g0
71,B13,13,35.0,f0
72,B13,2,35.0,a0
73,B13,2,35.0,c0
74,B13,2,35.0,e0
75,B13,3,35.0,b0
76,B13,3,35.0,d0
77,B14,11,20.0,g0
78,B14,13,20.0,f0
79,B14,2,20.0,a0
80,B14,2,20.0,c0
81,B14,2,20.0,e0
82,B14,3,20.0,b0
83,B14,3,20.0,d0
84,B2,11,46.0,g0
85,B2,13,46.0,f0
86,B2,2,46.0,a0
87,B2,2,46.0,c0
88,B2,2,46.0,e0
89,B2,3,46.0,b0
90,B2,3,46.0,d0
91,B3,11,40.0,f0
92,B3,13,40.0,g0
93,B3,2,40.0,a0
94,B3,2,40.0,c0
95,B3,2,40.0,e0
96,B3,3,40.0,b0
97,B3,3,40.0,d0
98,B4,11,28.0,g0
99,B4,13,28.0,f0
100,B4,2,28.0,a0
101,B4,2,28.0,c0
102,B4,2,28.0,e0
103,B4,3,28.0,b0
104,B4,3,28.0,d0
105,B5,11,25.0,g0
106,B5,13,25.0,f0
107,B5,2,25.0,a0
108,B5,2,25.0,c0
109,B5,2,25.0,e0
110,B5,3,25.0,b0
111,B5,3,25.0,d0
112,B6,11,86.0,g0
113,B6,13,86.0,f0
114,B6,2,86.0,a0
115,B6,2,86.0,c0
116,B6,2,86.0,e0
117,B6,3,86.0,b0
118,B6,3,86.0,d0
119,B7,11,55.0,g0
120,B7,13,55.0,f0
121,B7,2,55.0,a0
122,B7,2,55.0,c0
123,B7,2,55.0,e0
124,B7,3,55.0,b0
125,B7,3,55.0,d0
126,B8,11,44.0,f0
127,B8,13,44.0,g0
128,B8,2,44.0,a0
129,B8,2,44.0,c0
130,B8,2,44.0,e0
131,B8,3,44.0,b0
132,B8,3,44.0,d0
133,B9,11,50.0,f0
134,B9,13,50.0,g0
135,B9,2,50.0,a0
136,B9,2,50.0,c0
137,B9,2,50.0,e0
138,B9,3,50.0,b0
139,B9,3,50.0,d0
140,C1,11,15.0,f0
141,C1,13,15.0,g0
142,C1,2,15.0,a0
143,C1,2,15.0,c0
144,C1,2,15.0,e0
145,C1,3,15.0,b0
146,C1,3,15.0,d0
147,C2,11,13.0,g0
148,C2,13,13.0,f0
149,C2,2,13.0,a0
150,C2,2,13.0,c0
151,C2,2,13.0,e0
152,C2,3,13.0,b0
153,C2,3,13.0,d0
154,C3,11,15.0,g0
155,C3,13,15.0,f0
156,C3,2,15.0,a0
157,C3,2,15.0,c0
158,C3,2,15.0,e0
159,C3,3,15.0,b0
160,C3,3,15.0,d0
161,C4,11,18.0,g0
162,C4,13,18.0,f0
163,C4,2,18.0,a0
164,C4,2,18.0,c0
165,C4,2,18.0,e0
166,C4,3,18.0,b0
167,C4,3,18.0,d0
168,C5,11,27.0,f0
169,C5,13,27.0,g0
170,C5,2,27.0,a0
171,C5,2,27.0,c0
172,C5,2,27.0,e0
173,C5,3,27.0,b0
174,C5,3,27.0,d0
175,C6,11,20.0,g0
176,C6,13,20.0,f0
177,C6,2,20.0,a0
178,C6,2,20.0,c0
179,C6,2,20.0,e0
180,C6,3,20.0,b0
181,C6,3,20.0,d0
182,D1,16,9.2972361,a0
183,D1,16,5.7027639,b0
184,D1,16,9.2972361,c0
185,D1,16,5.7027639,d0
186,D1,16,9.2972361,e0
187,D1,16,5.7027639,f0
188,D1,16,9.2972361,g0
189,D1,17,0.29723614,a1
190,D1,17,3.0,b0
191,D1,17,4.2827639,c0
192,D1,17,1.7972361,c1
193,D1,17,6.08,e1
194,D1,17,4.6482184,g0
195,D1,18,5.7027639,a0
196,D1,18,9.0,a1
197,D1,18,6.0,b0
198,D1,18,6.0,b1
199,D1,18,1.42,c0
200,D1,18,7.5,c1
201,D1,18,7.5,d0
202,D1,18,7.5,d1
203,D1,18,1.42,e0
204,D1,18,7.5,e1
205,D1,18,3.6427639,f1
206,D1,20,9.0,b1
207,D1,20,7.5,d1
208,D1,20,4.2827639,e0
209,D1,20,10.717236,f1
210,D1,20,4.2827639,g1
211,D1,21,5.1713082,a1
212,D1,24,0.72487805,e1
213,D1,25,1.0545455,g0
214,D1,27,0.53145565,a1
215,D1,28,5.7027639,c1
216,D1,30,0.69512195,e1
217,D1,30,0.64,f1
218,D1,35,15.0,a2
219,D1,35,15.0,c2
220,D1,35,15.0,e2
221,D1,35,15.0,g2
222,D1,37,15.0,b2
223,D1,37,15.0,d2
224,D1,37,15.0,f2
225,D2,16,10.0,a0
226,D2,16,10.0,c0
227,D2,16,10.0,e0
228,D2,16,10.0,g0
229,D2,17,2.08,a1
230,D2,17,3.76,b1
231,D2,17,3.76,d1
232,D2,18,7.92,a1
233,D2,18,2.08,b0
234,D2,18,2.08,b1
235,D2,18,7.92,c1
236,D2,18,2.08,d0
237,D2,18,2.08,d1
238,D2,18,7.92,e1
239,D2,18,2.08,f1
240,D2,19,2.08,b0
241,D2,19,2.08,c1
242,D2,19,2.08,d1
243,D2,19,2.08,e1
244,D2,21,0.65843902,d1
245,D2,21,0.89323725,f1
246,D2,24,1.0875,b1
247,D2,24,1.0875,f1
248,D2,25,1.0545455,b1
249,D2,27,1.097561,d1
250,D2,27,1.097561,f1
251,D2,33,0.324,d1
252,D2,35,10.0,a2
253,D2,35,10.0,c2
254,D2,35,10.0,e2
255,D2,35,10.0,g2
256,D2,37,10.0,b2
257,D2,37,10.0,d2
