,地块名称,作物编号,面积,季次
0,A1,11,80.0,f0
1,A1,13,80.0,g0
2,A1,2,80.0,b0
3,A1,2,80.0,d0
4,A1,3,80.0,a0
5,A1,3,80.0,c0
6,A1,3,80.0,e0
7,A2,11,55.0,f0
8,A2,13,55.0,g0
9,A2,2,55.0,a0
10,A2,2,55.0,c0
11,A2,2,55.0,e0
12,A2,3,55.0,b0
13,A2,3,55.0,d0
14,A3,11,35.0,f0
15,A3,13,35.0,g0
16,A3,2,35.0,a0
17,A3,2,35.0,c0
18,A3,2,35.0,e0
19,A3,3,35.0,b0
20,A3,3,35.0,d0
21,A4,12,72.0,f0
22,A4,13,72.0,g0
23,A4,2,72.0,a0
24,A4,2,72.0,c0
25,A4,2,72.0,e0
26,A4,3,72.0,b0
27,A4,3,72.0,d0
28,A5,11,68.0,f0
29,A5,13,68.0,g0
30,A5,2,68.0,a0
31,A5,2,68.0,c0
32,A5,2,68.0,e0
33,A5,3,68.0,b0
34,A5,3,68.0,d0
35,A6,11,55.0,f0
36,A6,13,55.0,g0
37,A6,2,55.0,a0
38,A6,2,55.0,c0
39,A6,2,55.0,e0
40,A6,3,55.0,b0
41,A6,3,55.0,d0
42,B1,11,60.0,g0
43,B1,13,60.0,f0
44,B1,2,60.0,a0
45,B1,2,60.0,c0
46,B1,2,60.0,e0
47,B1,3,60.0,b0
48,B1,3,60.0,d0
49,B10,11,25.0,g0
50,B10,13,25.0,f0
51,B10,2,25.0,a0
52,B10,2,25.0,c0
53,B10,2,25.0,e0
54,B10,3,25.0,b0
55,B10,3,25.0,d0
56,B11,12,60.0,g0
57,B11,13,60.0,f0
58,B11,2,60.0,b0
59,B11,2,60.0,d0
60,B11,3,60.0,a0
61,B11,3,60.0,c0
62,B11,3,60.0,e0
63,B12,11,45.0,f0
64,B12,13,45.0,g0
65,B12,2,45.0,a0
66,B12,2,45.0,c0
67,B12,2,45.0,e0
68,B12,3,45.0,b0
69,B12,3,45.0,d0
70,B13,11,35.0,f0
71,B13,13,35.0,g0
72,B13,2,35.0,a0
73,B13,2,35.0,c0
74,B13,2,35.0,e0
75,B13,3,35.0,b0
76,B13,3,35.0,d0
77,B14,11,20.0,g0
78,B14,13,20.0,f0
79,B14,2,20.0,a0
80,B14,2,20.0,c0
81,B14,2,20.0,e0
82,B14,3,20.0,b0
83,B14,3,20.0,d0
84,B2,11,46.0,g0
85,B2,13,46.0,f0
86,B2,2,46.0,a0
87,B2,2,46.0,c0
88,B2,2,46.0,e0
89,B2,3,46.0,b0
90,B2,3,46.0,d0
91,B3,12,40.0,f0
92,B3,13,40.0,g0
93,B3,2,40.0,a0
94,B3,2,40.0,c0
95,B3,2,40.0,e0
96,B3,3,40.0,b0
97,B3,3,40.0,d0
98,B4,11,28.0,g0
99,B4,13,28.0,f0
100,B4,2,28.0,a0
101,B4,2,28.0,c0
102,B4,2,28.0,e0
103,B4,3,28.0,b0
