Team,Year,Sport,Total
Australia,2000,Swimming,46
Australia,2004,Swimming,31
Australia,2008,Swimming,54
Australia,2012,Swimming,32
Australia,2016,Swimming,32
Australia,2020,Swimming,53
Australia,2024,Swimming,51
China,2000,Diving,14
China,2004,Diving,12
China,2008,Gymnastics,24
China,2012,Swimming,15
China,2016,Diving,14
China,2020,Diving,16
China,2024,Swimming,36
France,2000,Fencing,14
France,2004,Fencing,14
France,2008,Handball,15
France,2012,Swimming,21
France,2016,Handball,31
France,2020,Handball,32
France,2024,Basketball,24
Germany,2000,Canoeing,17
Germany,2004,Hockey,32
Germany,2008,Canoeing,18
Germany,2012,Rowing,17
Germany,2016,Football,35
Germany,2020,Judo,14
Germany,2024,Football,20
Great Britain,2000,Rowing,17
Great Britain,2004,Rowing,12
Great Britain,2008,Rowing,23
Great Britain,2012,Rowing,28
Great Britain,2016,Rowing,26
Great Britain,2020,Swimming,20
Great Britain,2024,Athletics,40
Italy,2000,Fencing,13
Italy,2004,Football,17
Italy,2008,Fencing,16
Italy,2012,Fencing,16
Italy,2016,Water Polo,26
Italy,2020,Fencing,14
Italy,2024,Fencing,14
Japan,2000,Softball,15
Japan,2004,Baseball,24
Japan,2008,Softball,15
Japan,2012,Football,18
Japan,2016,Judo,12
Japan,2020,Baseball/Softball,39
Japan,2024,Judo,21
Netherlands,2000,Hockey,32
Netherlands,2004,Hockey,32
Netherlands,2008,Hockey,16
Netherlands,2012,Hockey,33
Netherlands,2016,Hockey,16
Netherlands,2020,Hockey,18
Netherlands,2024,Hockey,35
Russia,2000,Gymnastics,25
Russia,2004,Athletics,27
Russia,2008,Athletics,25
Russia,2012,Athletics,23
Russia,2016,Gymnastics,16
Russia,2020,Fencing,20
United States,2000,Swimming,66
United States,2004,Swimming,65
United States,2008,Swimming,68
United States,2012,Swimming,68
United States,2016,Swimming,71
United States,2020,Swimming,59
United States,2024,Swimming,69
