NOC,IsHost,LagTotal,NeverWon,YearFactor,PredictedMean
Afghanistan,0,0.0,0,36,1.0
Albania,0,2.0,0,36,2.1
Algeria,0,2.3,0,36,2.415
Argentina,0,3.6,0,36,3.7800000000000002
Armenia,0,4.0,0,36,4.2
Australasia,0,0.0,0,36,1.0
Australia,0,36.50000000000001,0,36,35.77
Austria,0,3.2000000000000006,0,36,3.3600000000000008
Azerbaijan,0,13.6,0,36,14.28
Bahamas,0,2.0,0,36,2.1
Bahrain,0,1.9000000000000001,0,36,1.9950000000000003
Barbados,0,0.0,0,36,1.0
Belarus,0,8.4,0,36,8.82
Belgium,0,6.7,0,36,7.035
Bermuda,0,1.0,0,36,1.05
Bohemia,0,0.0,0,36,1.0
Botswana,0,1.2999999999999998,0,36,1.3649999999999998
Brazil,0,19.700000000000003,0,36,20.685000000000002
British West Indies,0,0.0,0,36,1.0
Bulgaria,0,4.300000000000001,0,36,4.515000000000001
Burkina Faso,0,1.0,0,36,1.05
Burundi,0,1.0,0,36,1.05
Cabo Verde,0,1.0,0,36,1.05
Cameroon,0,0.0,0,36,1.0
Canada,0,23.1,0,36,22.638
Ceylon,0,0.0,0,36,1.0
Chile,0,2.0,0,36,2.1
China,0,77.80000000000001,0,36,73.91000000000001
Chinese Taipei,0,6.1000000000000005,0,36,6.405000000000001
Colombia,0,6.700000000000001,0,36,7.035000000000001
Costa Rica,0,0.0,0,36,1.0
Croatia,0,9.100000000000001,0,36,9.555000000000001
Cuba,0,12.000000000000002,0,36,12.600000000000003
Cyprus,0,1.0,0,36,1.05
Czech Republic,0,9.800000000000002,0,36,10.290000000000003
Czechoslovakia,0,0.0,0,36,1.0
Denmark,0,13.200000000000003,0,36,13.860000000000003
Djibouti,0,0.0,0,36,1.0
Dominica,0,1.0,0,36,1.05
Dominican Republic,0,2.400000000000001,0,36,2.520000000000001
East Germany,0,0.0,0,36,1.0
Ecuador,0,3.5999999999999996,0,36,3.78
Egypt,0,3.9,0,36,4.095
Eritrea,0,0.0,0,36,1.0
Estonia,0,1.2999999999999998,0,36,1.3649999999999998
Ethiopia,0,6.400000000000001,0,36,6.7200000000000015
FR Yugoslavia,0,0.0,0,36,1.0
Fiji,0,1.3000000000000003,0,36,1.3650000000000004
Finland,0,1.2999999999999998,0,36,1.3649999999999998
Formosa,0,0.0,0,36,1.0
France,0,41.50000000000001,0,36,40.67000000000001
Gabon,0,0.0,0,36,1.0
Georgia,0,7.300000000000001,0,36,7.665000000000001
Germany,0,39.6,0,36,38.808
Ghana,0,1.0,0,36,1.05
Great Britain,0,65.9,0,36,62.605000000000004
Greece,0,5.6000000000000005,0,36,5.880000000000001
Grenada,0,1.1,0,36,1.1550000000000002
Guatemala,0,2.0,0,36,2.1
Guyana,0,0.0,0,36,1.0
Haiti,0,0.0,0,36,1.0
Hong Kong,0,5.3999999999999995,0,36,5.67
Hungary,0,16.900000000000002,0,36,17.745000000000005
Iceland,0,0.0,0,36,1.0
Independent Olympic Athletes,0,2.0,0,36,2.1
Independent Olympic Participants,0,0.0,0,36,1.0
India,0,3.9000000000000004,0,36,4.095000000000001
Indonesia,0,3.6,0,36,3.7800000000000002
Iran,0,8.100000000000003,0,36,8.505000000000004
Iraq,0,0.0,0,36,1.0
