Team,pgold,psilver,pbronze,Total
United States,48.0,42.0,42.0,132.0
Italy,31.0,20.0,68.0,119.0
Russia,30.0,36.0,33.0,99.0
Norway,29.0,33.0,37.0,99.0
Germany,14.0,23.0,60.0,97.0
Great Britain,26.0,42.0,25.0,93.0
China,41.0,26.0,24.0,91.0
Croatia,26.0,23.0,38.0,87.0
Japan,20.0,28.0,37.0,85.0
Romania,51.0,14.0,13.0,78.0
Spain,27.0,21.0,30.0,78.0
Denmark,4.0,32.0,35.0,71.0
Greece,12.0,13.0,45.0,70.0
Australia,16.0,17.0,35.0,68.0
Lithuania,0.0,22.0,44.0,66.0
Tajikistan,48.0,17.0,0.0,65.0
France,22.0,23.0,16.0,61.0
Netherlands,6.0,20.0,34.0,60.0
Dominican Republic,0.0,54.0,3.0,57.0
Ukraine,4.0,37.0,15.0,56.0
New Zealand,8.0,13.0,33.0,54.0
South Africa,16.0,6.0,32.0,54.0
Canada,7.0,20.0,26.0,53.0
Cuba,17.0,14.0,18.0,49.0
Botswana,0.0,0.0,48.0,48.0
Tunisia,35.0,8.0,4.0,47.0
Colombia,1.0,21.0,25.0,47.0
Czech Republic,12.0,2.0,33.0,47.0
North Korea,20.0,23.0,2.0,45.0
Estonia,12.0,17.0,15.0,44.0
Slovakia,2.0,19.0,21.0,42.0
South Korea,9.0,15.0,18.0,42.0
Serbia,12.0,7.0,22.0,41.0
Azerbaijan,0.0,8.0,33.0,41.0
Belarus,20.0,10.0,11.0,41.0
Switzerland,19.0,4.0,17.0,40.0
Iran,13.0,12.0,12.0,37.0
San Marino,0.0,15.0,22.0,37.0
Panama,36.0,0.0,0.0,36.0
Philippines,10.0,23.0,3.0,36.0
Georgia,10.0,11.0,14.0,35.0
Chinese Taipei,7.0,7.0,20.0,34.0
Ireland,3.0,14.0,16.0,33.0
Argentina,25.0,0.0,7.0,32.0
Finland,0.0,14.0,17.0,31.0
Sweden,9.0,18.0,2.0,29.0
Hungary,14.0,7.0,8.0,29.0
Kazakhstan,5.0,1.0,22.0,28.0
Armenia,1.0,11.0,16.0,28.0
Malaysia,0.0,5.0,23.0,28.0
Brazil,14.0,8.0,6.0,28.0
Turkey,3.0,10.0,14.0,27.0
Venezuela,13.0,13.0,1.0,27.0
Czech Republic-1,0.0,5.0,21.0,26.0
Zimbabwe,0.0,24.0,0.0,24.0
Thailand,10.0,1.0,13.0,24.0
Moldova,0.0,0.0,24.0,24.0
Slovenia,4.0,5.0,15.0,24.0
Syria,0.0,0.0,23.0,23.0
Poland,9.0,5.0,8.0,22.0
Belgium,0.0,13.0,8.0,21.0
Latvia,2.0,10.0,9.0,21.0
Great Britain-1,16.0,5.0,0.0,21.0
China-1,15.0,2.0,3.0,20.0
Qatar,15.0,2.0,2.0,19.0
Grenada,0.0,5.0,13.0,18.0
Puerto Rico,18.0,0.0,0.0,18.0
Germany-1,2.0,16.0,0.0,18.0
Israel,0.0,0.0,18.0,18.0
Burkina Faso,0.0,0.0,17.0,17.0
Austria,1.0,0.0,16.0,17.0
Jamaica,7.0,5.0,4.0,16.0
Bulgaria,6.0,4.0,6.0,16.0
Mexico,6.0,2.0,8.0,16.0
Jordan,8.0,8.0,0.0,16.0
Great Britain-2,0.0,16.0,0.0,16.0
Uzbekistan,7.0,1.0,8.0,16.0
Togo,0.0,0.0,15.0,15.0
India,1.0,12.0,1.0,14.0
United States-1,7.0,1.0,6.0,14.0
Indonesia-1,5.0,4.0,5.0,14.0
Indonesia,0.0,3.0,10.0,13.0
Namibia,0.0,13.0,0.0,13.0
Nigeria,0.0,4.0,8.0,12.0
Cyprus,0.0,10.0,0.0,10.0
Spain-2,5.0,5.0,0.0,10.0
United States-2,5.0,2.0,3.0,10.0
Vietnam,1.0,8.0,0.0,9.0
Mauritius,0.0,0.0,9.0,9.0
Bahamas,6.0,0.0,2.0,8.0
Niger,0.0,8.0,0.0,8.0
Portugal,1.0,3.0,4.0,8.0
North Macedonia,0.0,8.0,0.0,8.0
Egypt,0.0,0.0,8.0,8.0
Gabon,0.0,8.0,0.0,8.0
Uganda,4.0,2.0,2.0,8.0
Singapore,2.0,0.0,5.0,7.0
Kenya,3.0,4.0,0.0,7.0
"Hong Kong, China",1.0,6.0,0.0,7.0
Individual Olympic Athletes,3.0,0.0,3.0,6.0
Kosovo,6.0,0.0,0.0,6.0
Ecuador,4.0,2.0,0.0,6.0
Russia-1,0.0,0.0,5.0,5.0
Mongolia,0.0,1.0,4.0,5.0
Ethiopia,0.0,1.0,4.0,5.0
Chile,5.0,0.0,0.0,5.0
Denmark-1,0.0,0.0,5.0,5.0
France-2,0.0,0.0,5.0,5.0
Russia-2,5.0,0.0,0.0,5.0
Sweden-2,0.0,5.0,0.0,5.0
Japan-1,0.0,5.0,0.0,5.0
France-1,0.0,5.0,0.0,5.0
Brazil-1,2.0,1.0,2.0,5.0
South Korea-1,0.0,2.0,2.0,4.0
Spain-1,0.0,4.0,0.0,4.0
Serbia and Montenegro,0.0,4.0,0.0,4.0
Kuwait,0.0,0.0,4.0,4.0
Ghana,0.0,0.0,4.0,4.0
China-2,0.0,0.0,4.0,4.0
Cote d'Ivoire,2.0,0.0,2.0,4.0
Bahrain,0.0,4.0,0.0,4.0
Fiji,1.0,0.0,2.0,3.0
Bermuda,3.0,0.0,0.0,3.0
Morocco,3.0,0.0,0.0,3.0
Burundi,0.0,3.0,0.0,3.0
Latvia-1,0.0,0.0,2.0,2.0
Switzerland-2,0.0,0.0,2.0,2.0
United Arab Emirates,0.0,0.0,2.0,2.0
Netherlands-1,0.0,0.0,2.0,2.0
Turkmenistan,0.0,2.0,0.0,2.0
Paraguay,0.0,2.0,0.0,2.0
Kyrgyzstan,0.0,2.0,0.0,2.0
Italy-1,0.0,2.0,0.0,2.0
Hong Kong-2,0.0,2.0,0.0,2.0
Algeria,0.0,2.0,0.0,2.0
Montenegro,0.0,1.0,0.0,1.0
Brazil-2,0.0,0.0,1.0,1.0
Iceland,0.0,1.0,0.0,1.0
Peiraikos Syndesmos-2,0.0,0.0,0.0,0.0
Pettit-Poucet-6,0.0,0.0,0.0,0.0
Peru,0.0,0.0,0.0,0.0
Persey,0.0,0.0,0.0,0.0
Peri II,0.0,0.0,0.0,0.0
Peri,0.0,0.0,0.0,0.0
Pasodoble,0.0,0.0,0.0,0.0
Pegaso,0.0,0.0,0.0,0.0
Paula,0.0,0.0,0.0,0.0
Patricia,0.0,0.0,0.0,0.0
"Passaic Turnverein, Passaic",0.0,0.0,0.0,0.0
"Phalainis ton Thorichtou ""Psara""-3",0.0,0.0,0.0,0.0
Partenope,0.0,0.0,0.0,0.0
