地块类型,地块名称,地块面积/亩,说明 
平旱地,A1,80.0,"(1) 平旱地、梯田和山坡地每年都只能种植一季作物。

(2) 水浇地每年可以种植一季也可以种植两季作物。

(3) 大棚能够在一定程度上起保温作用，每年都可以种植两季作物。
 
(4) 智慧大棚主要是在冬季利用太阳能自动调节棚内温度，保证作物的正常生长。


 "
平旱地,A2,55.0,
平旱地,A3,35.0,
平旱地,A4,72.0,
平旱地,A5,68.0,
平旱地,A6,55.0,
梯田,B1,60.0,
梯田,B2,46.0,
梯田,B3,40.0,
梯田,B4,28.0,
梯田,B5,25.0,
梯田,B6,86.0,
梯田,B7,55.0,
梯田,B8,44.0,
梯田,B9,50.0,
梯田,B10,25.0,
梯田,B11,60.0,
梯田,B12,45.0,
梯田,B13,35.0,
梯田,B14,20.0,
山坡地,C1,15.0,
山坡地,C2,13.0,
山坡地,C3,15.0,
山坡地,C4,18.0,
山坡地,C5,27.0,
山坡地,C6,20.0,
水浇地,D1,15.0,
水浇地,D2,10.0,
水浇地,D3,14.0,
水浇地,D4,6.0,
水浇地,D5,10.0,
水浇地,D6,12.0,
水浇地,D7,22.0,
水浇地,D8,20.0,
普通大棚 ,E1,0.6,
普通大棚 ,E2,0.6,
普通大棚 ,E3,0.6,
普通大棚 ,E4,0.6,
普通大棚 ,E5,0.6,
普通大棚 ,E6,0.6,
普通大棚 ,E7,0.6,
普通大棚 ,E8,0.6,
普通大棚 ,E9,0.6,
普通大棚 ,E10,0.6,
普通大棚 ,E11,0.6,
普通大棚 ,E12,0.6,
普通大棚 ,E13,0.6,
普通大棚 ,E14,0.6,
普通大棚 ,E15,0.6,
普通大棚 ,E16,0.6,
智慧大棚,F1,0.6,
智慧大棚,F2,0.6,
智慧大棚,F3,0.6,
智慧大棚,F4,0.6,
