作物编号,种植地块,作物名称,作物类型,种植面积/亩,种植季次
6,A1,小麦,粮食,80.0,单季
7,A2,玉米,粮食,55.0,单季
7,A3,玉米,粮食,35.0,单季
1,A4,黄豆,粮食（豆类）,72.0,单季
4,A5,绿豆,粮食（豆类）,68.0,单季
8,A6,谷子,粮食,55.0,单季
6,B1,小麦,粮食,60.0,单季
2,B2,黑豆,粮食（豆类）,46.0,单季
3,B3,红豆,粮食（豆类）,40.0,单季
4,B4,绿豆,粮食（豆类）,28.0,单季
5,B5,爬豆,粮食（豆类）,25.0,单季
8,B6,谷子,粮食,86.0,单季
6,B7,小麦,粮食,55.0,单季
8,B8,谷子,粮食,44.0,单季
9,B9,高粱,粮食,50.0,单季
10,B10,黍子,粮食,25.0,单季
1,B11,黄豆,粮食（豆类）,60.0,单季
7,B12,玉米,粮食,45.0,单季
14,B13,莜麦,粮食,35.0,单季
15,B14,大麦,粮食,20.0,单季
11,C1,荞麦,粮食,15.0,单季
12,C2,南瓜,粮食,13.0,单季
1,C3,黄豆,粮食（豆类）,15.0,单季
13,C4,红薯,粮食,18.0,单季
6,C5,小麦,粮食,27.0,单季
3,C6,红豆,粮食（豆类）,20.0,单季
20,D1,土豆,蔬菜 ,15.0,第一季
36,,白萝卜,蔬菜 ,15.0,第二季
28,D2,小青菜,蔬菜 ,10.0,第一季
35,,大白菜,蔬菜 ,10.0,第二季
21,D3,西红柿,蔬菜 ,14.0,第一季
35,,大白菜,蔬菜 ,14.0,第二季
22,D4,茄子,蔬菜 ,6.0,第一季
35,,大白菜,蔬菜 ,6.0,第二季
17,D5,豇豆,蔬菜（豆类）,10.0,第一季
36,,白萝卜,蔬菜 ,10.0,第二季
18,D6,刀豆,蔬菜（豆类）,12.0,第一季
37,,红萝卜,蔬菜 ,12.0,第二季
16,D7,水稻,粮食,22.0,单季
16,D8,水稻,粮食,20.0,单季
18,E1,刀豆,蔬菜（豆类）,0.6,第一季
38,,榆黄菇,食用菌,0.6,第二季
24,E2,青椒,蔬菜 ,0.6,第一季
38,,榆黄菇,食用菌,0.6,第二季
25,E3,菜花,蔬菜 ,0.6,第一季
38,,榆黄菇,食用菌,0.6,第二季
26,E4,包菜,蔬菜 ,0.6,第一季
39,,香菇,食用菌,0.6,第二季
28,E5,小青菜,蔬菜 ,0.6,第一季
39,,香菇,食用菌,0.6,第二季
27,E6,油麦菜,蔬菜 ,0.6,第一季
39,,香菇,食用菌,0.6,第二季
19,E7,芸豆,蔬菜（豆类）,0.6,第一季
40,,白灵菇,食用菌,0.6,第二季
19,E8,芸豆,蔬菜（豆类）,0.6,第一季
40,,白灵菇,食用菌,0.6,第二季
18,E9,刀豆,蔬菜（豆类）,0.6,第一季
40,,白灵菇,食用菌,0.6,第二季
17,E10,豇豆,蔬菜（豆类）,0.6,第一季
41,,羊肚菌,食用菌,0.6,第二季
17,E11,豇豆,蔬菜（豆类）,0.6,第一季
41,,羊肚菌,食用菌,0.6,第二季
22,E12,茄子,蔬菜 ,0.6,第一季
41,,羊肚菌,食用菌,0.6,第二季
21,E13,西红柿,蔬菜 ,0.6,第一季
41,,羊肚菌,食用菌,0.6,第二季
29,E14,黄瓜,蔬菜 ,0.6,第一季
41,,羊肚菌,食用菌,0.6,第二季
30,E15,生菜,蔬菜 ,0.3,第一季
27,,油麦菜,蔬菜 ,0.3,第一季
41,,羊肚菌,食用菌,0.6,第二季
31,E16,辣椒,蔬菜 ,0.6,第一季
41,,羊肚菌,食用菌,0.6,第二季
32,F1,空心菜,蔬菜 ,0.3,第一季
33,,黄心菜,蔬菜 ,0.3,第一季
24,,青椒,蔬菜 ,0.3,第二季
21,,西红柿,蔬菜 ,0.3,第二季
25,F2,菜花,蔬菜 ,0.3,第一季
26,,包菜,蔬菜 ,0.3,第一季
22,,茄子,蔬菜 ,0.3,第二季
29,,黄瓜,蔬菜 ,0.3,第二季
17,F3,豇豆,蔬菜（豆类）,0.6,第一季
28,,小青菜,蔬菜 ,0.3,第二季
30,,生菜 ,蔬菜 ,0.3,第二季
19,F4,芸豆,蔬菜（豆类）,0.6,第一季
34,,芹菜,蔬菜 ,0.3,第二季
23,,菠菜 ,蔬菜 ,0.3,第二季
